id,kind,section,name,short,trigger,blocks_training,blocks_internal,blocks_release,d_us_low,d_us_central,d_us_high,d_access_low,d_access_central,d_access_high,d_china_low,d_china_central,d_china_high,net_own,net_some,net_lot,net_most,market_price,basis,how,recurrence,confidence,evidence,uncertainty,requires,baseline,reasoning,steelman,sources
"incident-reporting","policy","starters","Critical safety incident reporting","Tell the state within 15 days when something goes seriously wrong. 24 hours if it is imminent.","Frontier developers (models above 10^26 FLOP).","no","no","no","0.00001","0.00001","0.00003","0","0.00001","0.00001","0","0","0","0.00","0.00","0.00","0.00","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up essentially nothing behind where it would be. Most of the model's inputs are stated assumptions.","one-time","Medium","high","None worth naming. The only cost is a lawyer's afternoon.","Report a critical safety incident to the state within 15 days of discovering it (California SB 53). | Report within 24 hours if the incident poses an imminent risk of death or serious injury. | EU Code of Practice signatories report serious incidents on a 2, 5, 10 or 15 day clock depending on severity. | SB 1047 would have required 72 hours.","OpenAI and Anthropic already have incident processes under their own frameworks, and both are now legally bound by SB 53 in California. Nothing in the requirement touches training, internal use or release.","There is no pre-release gate in this scope. Incremental reporting hours compete with research only to the extent that specialized staff or extra hiring fail to absorb them. The result is economically negligible on this metric; rounding does not imply that reporting requires literally no work.
In the model, a year after the rule takes effect, U.S. capability is essentially nothing behind its baseline path and China's is essentially nothing behind at the model's central assumption about dependence. The difference, essentially nothing, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","A reporting regime creates a record that regulators and plaintiffs can use later, which could make labs more cautious about internal deployments of capable models. That caution, not the filing, is where a cost would come from. We see no evidence of it so far and it would be a cost of liability exposure rather than of the reporting rule itself.","California Bus. & Prof. Code § 22757.13 (SB 53): critical safety incident reporting <https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=BPC&sectionNum=22757.13> | SB 1047 enrolled text, § 22603(g): 72-hour reporting <https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB1047> | EU GPAI Code of Practice, Safety and Security chapter <https://ec.europa.eu/newsroom/dae/redirection/document/118119>"
"safety-framework","policy","starters","Published frontier safety framework","Write down how you assess and mitigate catastrophic risk, publish it, and follow it.","Large frontier developers (revenue above $500M).","no","no","no","0","0.00107","0.00169","0.00299","0.00727","0.01451","0","0","0","0.00","-0.00","-0.00","-0.00","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up under a day behind where it would be; China loses under a day more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","one-time","Medium","high","Whether being legally bound to your own framework makes a lab write a weaker one or hold a launch to comply with it.","Publish a frontier AI framework covering capability thresholds, mitigations, pre-deployment review, third-party assessment, weight security and incident response (SB 53 § 22757.12). | Review it at least yearly; publish material changes within 30 days with a justification. | Do not make materially false statements about compliance with it. | EU signatories must adopt an equivalent Safety and Security Framework.","Anthropic's Responsible Scaling Policy is on version 3.4. OpenAI's Preparedness Framework is on version 2, with a companion Frontier Governance Framework written to map onto SB 53 and the EU Code. Google DeepMind and xAI publish frontier safety frameworks. The requirement codifies what every covered lab already publishes.","The estimate concerns legal adherence to a framework beyond voluntary practice. A public hold mostly affects foreign access. Internal holds matter through foregone productivity of the newest model; an already-trained model is not erased from the technical frontier.
In the model, a year after the rule takes effect, U.S. capability is under a day behind its baseline path and China's is under a day behind at the model's central assumption about dependence. The difference, under a day, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","Anthropic's RSP v3.0 explicitly moved away from hard pre-deployment gates toward public goals it grades itself against. A law that makes a framework binding removes that flexibility. If a lab's own threshold is crossed at an awkward moment, a binding framework could force a delay the voluntary version would not. The cost is real but it is the cost of a threshold, and it is priced under the evaluation and safety-case items.","California Bus. & Prof. Code § 22757.12 (SB 53): frontier AI framework <https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=BPC&sectionNum=22757.12> | Anthropic Responsible Scaling Policy, version history <https://www.anthropic.com/rsp-updates> | OpenAI Preparedness Framework v2 <https://cdn.openai.com/pdf/18a02b5d-6b67-4cec-ab64-68cdfbddebcd/preparedness-framework-v2.pdf> | OpenAI Frontier Governance Framework <https://cdn.openai.com/pdf/e37d949b-8c9f-4d76-b99e-4272f4631a7e/openai-frontier-governance-framework.pdf> | GovAI on Anthropic's RSP v3.0 <https://www.governance.ai/analysis/anthropics-rsp-v3-0-how-it-works-whats-changed-and-some-reflections>"
"transparency-report","policy","starters","Transparency report at launch","Publish a system card with risk assessment results before or when you deploy.","All frontier developers; extra content for large ones.","no","no","cond","0","0.00013","0.00022","0.00089","0.00357","0.00955","0","0","0","0.00","-0.00","-0.00","-0.00","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up essentially nothing behind where it would be; China loses under a day more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","one-time","Medium","high","Whether a legally required document ever finishes later than the launch it accompanies.","Before or concurrently with deploying a new frontier model, publish a report with intended uses, restrictions, modalities and, for large developers, summaries of catastrophic-risk assessments and the role of third-party evaluators (SB 53 § 22757.12(c)). | Send the state a summary of internal-use catastrophic-risk assessments every three months. | EU Code signatories file a Model Report at deployment.","OpenAI publishes a system card with every frontier release (GPT-5.5 on April 23, 2026; GPT-6 Astra on September 3, 2026). Anthropic publishes system cards at launch and Risk Reports every three to six months. The legal document is the system card with a checklist.","A late document can defer public launch without delaying technical development. The small modeled widening comes from less access to U.S. teachers, offset by incremental compliance labor. Its sign is sensitive to the marginal teacher-dependence assumption.
In the model, a year after the rule takes effect, U.S. capability is essentially nothing behind its baseline path and China's is under a day behind at the model's central assumption about dependence. The difference, under a day, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","The definition of deployment is broad. GovAI found that in the first five months of 2026, the frontier models withheld from general release were instead given to select entities under trusted-access programs. If a transparency report is required before any third party touches the model, those programs would have to wait for the write-up. That could cost a week or two on the access clock per model, and it is why the high end of the range is a week.","California Bus. & Prof. Code § 22757.12(c) (SB 53): transparency reports <https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=BPC&sectionNum=22757.12> | GPT-5.5 System Card <https://openai.com/index/gpt-5-5-system-card/> | Anthropic RSP v3.4: Risk Reports every 3 to 6 months <https://www-cdn.anthropic.com/files/4zrzovbb/website/0bacdc8440ea96e62a8766d99ebe1d4eea6d5f3a.pdf> | GovAI, Delays to Frontier AI in the EU and UK <https://www.governance.ai/research-paper/delays-to-frontier-ai-in-the-eu-and-uk>"
"whistleblower","policy","starters","Whistleblower protections","Employees can report catastrophic-risk concerns to regulators without retaliation. Complimentary.","Frontier developers.","no","no","no","0.00094","0.00445","0.01242","0","0.0013","0.00232","0","0","0","0.00","0.00","0.00","0.00","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up under a day behind where it would be; China loses under a day more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","one-time","Medium","high","None. This item is on the menu to make a point about what regulation mostly consists of.","No policy or contract that prevents an employee from reporting a catastrophic-risk danger or a legal violation to the Attorney General, federal authorities or a supervisor (California Labor Code § 1107.1). | Large developers provide an anonymous internal reporting channel with monthly status updates to the reporter. | Post a notice of rights.","Anthropic and OpenAI both publicly dropped non-disparagement clauses that could have chilled safety disclosures, and both describe internal reporting channels in their frameworks. The law makes that permanent.","Extra investigations are modeled as rare, localized interruptions of research. Benefits from better information, retention or avoided misconduct are not empirically quantified here. A near-zero result should not be interpreted as a judgment on those benefits.
In the model, a year after the rule takes effect, U.S. capability is under a day behind its baseline path and China's is under a day behind at the model's central assumption about dependence. The difference, under a day, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","There is no serious case for a lead cost. The strongest argument against this provision is about litigation risk and morale, not about the race.","California Labor Code § 1107.1 (SB 53) <https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=LAB&sectionNum=1107.1>"
"shutdown","policy","starters","Full shutdown capability","Be able to turn the model off. The kill switch.","Covered frontier models (SB 1047 definition); under study for California by executive order.","no","no","no","0.00379","0.01368","0.0365","0","0.00626","0.01079","0","0","0","0.01","0.01","0.01","0.01","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up under a day behind where it would be; China loses under a day more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","one-time","Medium","medium","Whether a regulator's definition of shutdown ever exceeds what labs already engineer for their own operations.","Implement the capability to promptly enact a full shutdown of training, model operation and derivatives under the developer's control (SB 1047 § 22603(a)). | California's September 2026 executive order asks an expert panel to recommend how a kill switch for frontier models should work.","Every lab can stop a training run and pull a model from its API. The ability to do so is operational hygiene, not a new engineering program. Anthropic's RSP and OpenAI's frameworks both contemplate pausing deployment as a mitigation.","This prices the frozen developer-controlled shutdown requirement. Engineering changes are one-time, with only the affected research fraction charged. A rule demanding control over every downstream copy would be a different intervention.
In the model, a year after the rule takes effect, U.S. capability is under a day behind its baseline path and China's is under a day behind at the model's central assumption about dependence. The difference, under a day, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","A shutdown requirement that extends to model derivatives held by third parties, or to open-weight models, is not technically achievable and could push a lab to withhold open weights. That would affect China's access more than the U.S. frontier, which would push the price negative rather than positive.","SB 1047 enrolled text, § 22603(a)(2): full shutdown <https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB1047> | California Executive Order N-9-26 on independent oversight and a kill switch <https://www.gov.ca.gov/2026/09/18/governor-newsom-issues-executive-order-to-accelerate-independent-oversight-and-advance-the-creation-of-an-ai-kill-switch/>"
"third-party-audit","policy","starters","Annual independent compliance audit","An outside auditor checks once a year that you did what your framework says.","Covered frontier developers (SB 1047 would have started this in 2026).","no","no","no","0.00006","0.00061","0.001","0.00118","0.00313","0.00597","0","0","0","0.00","-0.00","-0.00","-0.00","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up under a day behind where it would be; China loses under a day more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","one-time","Medium","medium","Whether audit findings ever require remediation before a launch.","Retain an independent third-party auditor annually to assess compliance with the safety framework, identify gaps and recommend corrections (SB 1047 § 22603(e)). | Publish a redacted audit report and send it to the Attorney General. | California's 2026 laws SB 813 and AB 1405 set up a framework and registry for independent verification organizations.","Labs already commission external security audits and, increasingly, external reviews of their safety frameworks. Anthropic commits to seeking public external review of its Risk Reports.","Annual audit findings do not delay every launch. The public-model stream uses a cycle-average approximation; dated checks in the supplied helper verify that an expired hold does not keep delaying later releases.
In the model, a year after the rule takes effect, U.S. capability is under a day behind its baseline path and China's is under a day behind at the model's central assumption about dependence. The difference, under a day, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","An auditor who has to sign off on a framework may demand conservative interpretations of thresholds, which ratchets a lab's own gates tighter. Over several generations that ratchet could add up. It is a second-order effect and we have no data on it.","SB 1047 enrolled text, § 22603(e): third-party audits <https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB1047> | Governor Newsom signs SB 813 and AB 1405 (Sept 9, 2026) <https://www.gov.ca.gov/2026/09/09/governor-newsom-signs-first-in-the-nation-ai-safeguards-to-protect-californians-calls-on-the-federal-government-to-do-its-part/>"
"internal-evals","policy","mains","Mandatory internal capability evaluations","Run dangerous-capability evaluations on every frontier model before you deploy it.","Frontier models before external deployment.","no","no","cond","0","0.00093","0.00153","0.00275","0.00789","0.01847","0","0","0","0.00","-0.00","-0.00","-0.00","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up under a day behind where it would be; China loses under a day more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","one-time","Medium-high","high","How much of the evaluation must wait for the final checkpoint rather than a proxy.","Before deployment, run a defined suite of evaluations for chemical, biological, cyber and autonomy capabilities and document the results. | Compare results against published thresholds and record the deployment decision.","OpenAI's Preparedness Framework says every covered model undergoes its suite of scalable evaluations prior to deployment. Anthropic runs capability assessments under its RSP. GPT-5.5 went through targeted red-teaming for cyber and biology before release. The requirement is already the norm.","Published testing durations anchor possible workloads; only mandatory work beyond the voluntary suite is incremental. Most testing overlaps training, launch preparation and other safety work. Findings requiring new remediation belong to the separate triggered-remediation mechanism.
In the model, a year after the rule takes effect, U.S. capability is under a day behind its baseline path and China's is under a day behind at the model's central assumption about dependence. The difference, under a day, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","Evaluation suites grow. A mandate with a fixed list could add human uplift studies or agentic evaluations that take weeks and cannot run on proxies. And a legal duty to evaluate is a legal duty to act on the result, which turns a measurement into a gate. That gate is priced separately, but a critic would say the two cannot be separated in practice.","AISI, Early lessons from evaluating frontier AI systems <https://www.aisi.gov.uk/blog/early-lessons-from-evaluating-frontier-ai-systems> | OpenAI Preparedness Framework v2 <https://cdn.openai.com/pdf/18a02b5d-6b67-4cec-ab64-68cdfbddebcd/preparedness-framework-v2.pdf> | GPT-5.5 System Card <https://openai.com/index/gpt-5-5-system-card/>"
"third-party-eval","policy","mains","Independent pre-deployment evaluation","An approved outside evaluator tests the model and reports before public release.","Frontier models before external deployment.","no","no","yes","0","0.00078","0.00123","0.00357","0.00847","0.01874","0","0","0","0.00","-0.00","-0.00","-0.01","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up under a day behind where it would be; China loses under a day more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","one-time","Medium","high","Whether labs would share checkpoints earlier or simply wait longer at the end.","Give an independent evaluator (a government institute or an approved organization) access to a representative checkpoint before release. | Receive the evaluator's report before public deployment; the report can be redacted for publication. | No fixed access period is set; the evaluator gets what it gets.","Every major U.S. release now goes through some external testing. UK AISI and U.S. CAISI tested GPT-5.5. METR had ten business days on Claude Opus 5.5 and three weeks on o3 and GPT-5. But access is uneven: Apollo had three days on GPT-6 Astra and SecureBio six calendar days. The practice exists; the mandate makes it universal and makes the report a precondition.","Qualifying evaluations already conducted voluntarily are reused. External evaluator service, queueing, existing access runway and final-report tails are distinct. This is not a claim that every observed evaluation caused its entire elapsed duration as delay.
In the model, a year after the rule takes effect, U.S. capability is under a day behind its baseline path and China's is under a day behind at the model's central assumption about dependence. The difference, under a day, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","Evaluators are capacity-constrained. If every frontier release from four labs must queue for the same institute, the queue is the delay, and it lands in the lab's release schedule whether or not the model is done. METR itself says deployment-tied evaluations often leave little time for thorough analysis. A mandate that fixes that problem by adding time is, by construction, adding time. And the labs' own behavior suggests they treat evaluator windows as release-blocking rather than parallel.","GPT-5.5 System Card: external evaluations <https://deploymentsafety.openai.com/gpt-5-5> | GPT-6 Astra deployment safety page <https://deploymentsafety.openai.com/gpt-6-astra> | METR evaluation of Claude Opus 5.5 <https://metr.org/blog/2026-09-22-claude-opus-5-5/> | METR evaluation of o3 and o4-mini <https://metr.org/evaluations/openai-o3-report/> | METR Frontier Risk Report, Feb–Mar 2026 <https://metr.org/blog/2026-05-19-frontier-risk-report/> | AISI, Early lessons from evaluating frontier AI systems <https://www.aisi.gov.uk/blog/early-lessons-from-evaluating-frontier-ai-systems> | Expanding External Access to Frontier AI Models (arXiv 2601.11916) <https://arxiv.org/abs/2601.11916>"
"evaluator-window","policy","mains","Twenty business days of evaluator access","Outside evaluators get at least four weeks with the model before it ships.","Frontier models before external deployment (the EU Code of Practice's suggested period).","no","no","yes","0","0.00172","0.00285","0.01068","0.03139","0.09845","0","0","0","0.00","-0.01","-0.01","-0.02","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up under a day behind where it would be; China loses under a day more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","one-time","Medium","high","Whether labs respond by sharing checkpoints four weeks earlier or by shipping four weeks later.","Provide independent external evaluators with at least 20 business days of access to the model before public release. | The EU Code of Practice describes this as appropriate for most systemic risks and evaluation methods; METR's guidance for lab staff repeats it.","Actual windows in 2025 and 2026 ran from three days (GPT-6 Astra, Apollo) to three weeks (o3, GPT-5). Ten business days on Claude Opus 5.5 is the recent norm at the generous end. A 20-business-day floor is two to three weeks more than typical practice.","Twenty business days is modeled as a 28-calendar-day convention. Existing access can satisfy much of that requirement. Earlier sharing is allowed; a material checkpoint reset can create an additional residual tail. Holidays and particular legal counting conventions are not separately forecast.
In the model, a year after the rule takes effect, U.S. capability is under a day behind its baseline path and China's is under a day behind at the model's central assumption about dependence. The difference, under a day, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","Four weeks is a real number in a field where METR measures the frontier doubling every 105 days. If commercial availability drives revenue, and revenue drives compute purchases, a systematic four-week delay on every release compounds into a slower frontier. And the internal-versus-public distinction may be thinner than it looks: OpenAI's internal-to-external gap is only a few weeks, so a four-week floor could exceed the lab's own cadence and force it to hold the internal frontier too.","EU GPAI Code of Practice, Safety and Security chapter, Appendix 3.4 <https://ec.europa.eu/newsroom/dae/redirection/document/118119> | METR, Frontier AI safety regulations: a reference for lab staff <https://metr.org/notes/2026-01-29-frontier-ai-safety-regulations/> | METR evaluation of Claude Opus 5.5 <https://metr.org/blog/2026-09-22-claude-opus-5-5/> | GPT-6 Astra deployment safety page <https://deploymentsafety.openai.com/gpt-6-astra> | METR Frontier Risk Report PDF <https://metr.org/risk-report-feb-mar-2026.pdf>"
"triggered-redteam","policy","mains","Triggered red-team and remediation","If an evaluation crosses a danger threshold, do elevated testing and fix it before anyone can use it.","Any frontier model whose evaluations cross a defined capability threshold.","no","cond","cond","0.00174","0.00483","0.00808","0.00542","0.01651","0.02707","0","0","0","0.00","0.00","-0.00","-0.01","no","model","Simulation model, 12 months after the rule takes effect: U.S. progress ends up under a day behind where it would be; China loses under a day more through its dependence on U.S. models, at the ""a little"" setting. Most of the model's inputs are stated assumptions.","one-time","Low-medium","medium","How often thresholds get crossed and whether safeguards must be in place for internal use as well as release.","When a pre-deployment evaluation crosses a capability threshold, conduct elevated testing (expert red-teaming, possibly uplift studies). | Implement and verify safeguards before deployment; if the threshold governs internal use, before internal deployment too.","Both major frameworks already have this shape. OpenAI's Preparedness Framework requires safeguards at High capability; its GPT-6 Astra card says safeguards were required even for internal deployment because of cyber capability. Anthropic's RSP has ASL-3 and ASL-4 safeguards tied to thresholds. Thresholds are now being crossed routinely rather than hypothetically.","The relevant probability is an incremental binding intervention, not merely a model crossing a risk threshold. Prepared mitigations reduce remaining work. Joint incidence and remedy difficulty could be more correlated than the base independent priors.
In the model, a year after the rule takes effect, U.S. capability is under a day behind its baseline path and China's is under a day behind at the model's central assumption about dependence. The difference, under a day, is the model's central estimate. The full calculation, every input and its evidence status are on this rule's page in the technical appendix.","Thresholds only get crossed more often from here. If every frontier model now triggers elevated testing, the conditional becomes unconditional and this item becomes a standing four-to-six-week gate. Worse, if regulators rather than labs define the threshold and the remediation standard, the lab loses the ability to prepare safeguards in advance for a threshold it can anticipate. That would move the central price toward a month and push more of it onto the internal clock.","AISI, Early lessons from evaluating frontier AI systems <https://www.aisi.gov.uk/blog/early-lessons-from-evaluating-frontier-ai-systems> | GPT-6 Astra deployment safety page <https://deploymentsafety.openai.com/gpt-6-astra> | OpenAI Preparedness Framework v2 <https://cdn.openai.com/pdf/18a02b5d-6b67-4cec-ab64-68cdfbddebcd/preparedness-framework-v2.pdf> | Anthropic Responsible Scaling Policy <https://www.anthropic.com/responsible-scaling-policy>"
